specialty,product-cat,caption,price,description,weight,vendor,order_date,expiry_date,quantity,unit_cost,total_cost
Anesthesia Equipment,Laryngoscope,Fiber Optic LED Laryngoscope Set Macintosh,6720,Stainless Steel blades with removable LED lamp            Handle & Blades are made of stainless ..,0.00199005,ACCURATE MACHINES,18/04/2023,18/04/2026,36,672,24192
Surgery,Retractor,Davis Boyle Mouth Gag with 5 Blade,2729,Stainless SteelReusablePremium Grade..,0.001492537,Gesco Healthcare,20/03/2023,20/03/2027,4,272.9,1091.6
Surgery,Forceps,Babcock Forceps,369,Instrument Type : Tissue Grasping ForcepsWorking Surface Style : Latitudinally SerratedMaterial : St..,0.001492537,Delux Surgical,7/9/2022,7/9/2026,41,36.9,1512.9
Surgery,Forceps,Kelly Placenta Forceps (PPIUCD Forceps),575,"Kelly Placenta Forceps (PPIUCD Forceps)Made from Stainless SteelSize Approx. 12""..",0.001492537,Integra,24/02/2023,24/02/2027,25,57.5,1437.5
Surgery,Instrument Kit,Dissecting Set of 19 Instruments,756,You can also buy this product from our Amazon store.Buy NowDissecting Set of 19 Instruments.All the ..,0.001492537,Cook India,8/5/2024,8/5/2028,8,75.6,604.8
Anesthesia Equipment,Laryngoscope,IndoSurgicals Disposable Macintosh Type Fiber Optic Laryngoscope (Pack of 1 Blade & 1 Handle),700,High-Quality Fiber Optic Blades: The laryngoscope features fiber optic blades that provide bright an..,0.00199005,Hindustan Syringes,22/05/2024,22/05/2027,42,70,2940
Linen,Disposable Gloves,Nitrile Examination Gloves (Pack of 100 Pcs.),749,Thicker and stronger to give the wearer extra protection when hand safety is a paramount concernLa..,0.000497512,Reckitt Benckiser,14/11/2023,14/11/2027,37,74.9,2771.3
Other Instruments,Catheter,"Metal Catheter 12"", 14"" & 16"" (Set of 3)",420,"Metal Catheter 12"", 14"" & 16"" (Set of 3)Manufactured from stainless steel.Highly polished finish..",0.000497512,Girish Surgical Works,29/12/2023,29/12/2027,44,42,1848
Hollowware,Deluxe Quality,"IndoSurgicals Instrument Tray 12x10"" (Deluxe Quality)",749,Stainless steelWith cover                     Item Code             Size (approx.)             Qu..,0.000497512,Santosh Surgical Instruments,23/03/2023,23/03/2027,14,74.9,1048.6
Sterilizers,Formalin Chamber,Formalin Chamber (Two Trays),3776,"Made from 5mm thick superior quality acrylic sheet.Supplied with 2 Sliding Trays.Corrosion proof, Tr..",0.000995025,Inor Medical Products Ltd,28/07/2022,28/07/2025,27,377.6,10195.2
Spine Surgery,Forceps,Disc Punch Forceps (Plain) Down,3499,Stainless SteelReusablePremium Grade,0.000497512,M/S IMADE TECHNOLOGY PRIVATE LIMITED,3/5/2023,3/5/2027,39,349.9,13646.1
OB/GYN Instruments,Umbilical Cord Clamp,Umbilical Cord Clamp (10 Pcs.),197.12,Umbilical cord clamp is used for clamping the umbilical cord of newly born baby.Manufactured from no..,0.000497512,B. Braun,26/06/2024,26/06/2028,21,19.712,413.952
Other Instruments,Staple,Skin Staple Remover,448,Stainless SteelReusablePremium Grade..,0.000497512,Romsons,8/11/2022,8/11/2026,48,44.8,2150.4
General,Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Infant,799,Silicone Artificial Resuscitator (Ambu Type Bag) Infant,0.00199005,Max Healthcare Institute Limited,27/04/2024,27/04/2027,14,79.9,1118.6
Surgery,Retractor,Gosset Retractor,2199,High-Quality Material â€“ Made from premium stainless steel for durability and sterilization.Self-Reta..,0.001492537,Terumo,6/2/2023,6/2/2027,29,219.9,6377.1
Sterilizers,Non-Electric Autoclave,"Autoclave (39 litres) Non-Electric, Pressure Cooker Type, Mirror Finish",12099,"Mirror Finish, Non-Electric (External Fuel Heated)Approx. Size (Dia. X H): 300mm X 400mm + 150mm Lid..",0.000995025,Boston Scientific,31/08/2022,31/08/2025,23,1209.9,27827.7
General & Laparoscopic Surgery,Scissors,Mayo scissors,999,straight 6.5-inch,0.000497512,Stryker,8/1/2025,8/1/2029,8,99.9,799.2
Ortho Aid,Wrist & Elbow Splints,Finger Mallet Splint,184.8,Size :        Universal        Specifications :        Splint keeps the  finger joints in hype..,0.000497512,Johnson & Johnson,13/10/2024,13/10/2028,25,18.48,462
Anesthesia Equipment,CPR Mask,Pocket CPR Mask,315,Convenient ready to useCrystal clear maskSafe and hygienicSuitable for supplementary oxygenComfort a..,0.00199005,Karl Storz,12/4/2023,12/4/2026,3,31.5,94.5
Surgery,Forceps,Hartmann Alligator Forceps,1199,Hartmann Alligator Forceps..,0.001492537,Dr. Lal PathLabs Limited,17/05/2024,17/05/2028,33,119.9,3956.7
Cardiothoracic Instrument,Retractor,Morse Sternal Retractor,8899,Stainless SteelReusablePremium GradeSKUSize93330Infant93331Child..,0.001492537,Ben Franklin Opticians,7/4/2023,7/4/2027,37,889.9,32926.3
Anesthesia Equipment,Nebulizer Face Mask,Nebulizer Face Mask Kit for Child,199,"Compatible with most standard nebulizer kits.Reusable mask, must only be hand washed.Soft anatomical..",0.00199005,HI-TECH LAB PRODUCTS,2/10/2023,2/10/2026,4,19.9,79.6
General,Height & Weight Scales,Digital Baby Weighing Scale,3699,Height scale to measure length of babyLarge scale size : 563 x 333 mmAccurately measures weight in 5..,0.00199005,Vishal Surgitech,10/4/2022,10/4/2025,47,369.9,17385.3
Surgery,Forceps,Collin Tongue Holding Forceps,779,Stainless SteelReusablePremium Grade..,0.001492537,Poly Medicure,6/4/2023,6/4/2027,50,77.9,3895
Surgery,Scalpel,B.P. Handle (Scalpel Handle) No. 10,224,"B.P. Handle (Scalpel Handle) No. 10, stainless steel",0.001492537,Thyrocare Technologies Limited,4/7/2022,4/7/2026,13,22.4,291.2
Sterilizers,Electric Autoclave,Front Loading Autoclave 15 Ltrs.,109103.98,"Class-N Front Loading Autoclave. With thermal vacuum, fully automatic with dry cycl..",0.000995025,Stryker,15/12/2023,15/12/2026,50,10910.398,545519.9
Lab Equipment,Laboratory Incubators,Laboratory Incubator Universal Type 324 Ltrs SS Chambers,82538.4,Temperature  Thermostatically controlled by hydraulic thermostat 5ÂºC above ambient to 70ÂºC  with a s..,0.000497512,SISCO ,28/09/2024,28/09/2028,8,8253.84,66030.72
Hollowware,Bed Pan & Urinal,"Bed Pan with Lid, Female (Perfection type), Jointed",800.8,Stainless SteelPerfection type                     Item Code             Type             Â  ..,0.000497512,Ambu,16/08/2024,16/08/2028,15,80.08,1201.2
Ortho Instruments,Nibbler,"Bone Nibbler (Single Action) Straight - 6""",999,"Bone Nibbler (Single Action) Straight - 6""..",0.000497512,Fresenius,18/01/2024,18/01/2028,46,99.9,4595.4
Surgery,Instrument Kit,NSV Kit,1232,NSV Kit Containing Following Items:-S.No.Name Of ItemsQty.1CuticleÂ Scissor Straight 4.51 Pc.2Sp..,0.001492537,GPC Medical,20/10/2023,20/10/2027,10,123.2,1232
Rubber Products,Chloroform Bellow,"Chloroform Sigmoidoscopes Bellow, 500ml",647.82,Sigmoidoscope Double Bellow.Made of Rubber. NO LIQUID INSIDE THE BELLOW - ONLY RUBBER BELLOW WILL BE..,0.000497512,Arena Medical Care,29/06/2024,29/06/2028,13,64.782,842.166
Surgery,Forceps,Punch Biopsy Forceps,5376,Stainless SteelReusablePremium Grade..,0.001492537,Reckitt Benckiser,22/06/2024,22/06/2028,24,537.6,12902.4
OPT Equipments,OT Tables,O.T. Table Hydraulic C-Arm Compatible with Ortho Attachment,172150.2,Salient FeaturesFour Sectional radiolucent top.Â Eccentrically positioned top for maximum access..,0.000497512,GE Healthcare,16/05/2022,16/05/2026,34,17215.02,585310.68
Surgery,Scissors,Vannas Spring Scissors,659,"Manufactured from German stainless steel.Product Conforms to ISO, CE-Quality Mark and other Quality ..",0.001492537,Cook India,23/10/2023,23/10/2027,45,65.9,2965.5
Surgery,Scissors,Knapp Iris Scissors (Straight),199,Knapp Iris Scissors (Straight)..,0.001492537,Bard,18/07/2022,18/07/2026,33,19.9,656.7
Neurology Instruments,Hammer,Neurological Buck Hammer,239,"Double ended with reflex point
Complete Brass with Rubber HeadWith Pin and Brush
T-shapeLength:&nb..",0.000497512,Romsons,1/8/2022,1/8/2026,40,23.9,956
Surgery,Suction Units - Electric Cum Manual,Suction Unit - Dual Power - (45 Ltrs./min) (Electric cum Manual),24416,"Housing: MS Powder Coated, SS Top on two wheelsCapacity (Electrical): -600mm Hg Â± 10 , 45 Ltrs/ minC..",0.001492537,Shilpa Medicare Limited,14/10/2022,14/10/2026,30,2441.6,73248
Surgery,Forceps,Universal Needle Holder,616,Universal Needle HolderManufactured from stainless steel.Highly polished finish for aesthetic and co..,0.001492537,GPC Medical,28/06/2024,28/06/2028,30,61.6,1848
Anesthesia Equipment,Laryngoscope,IndoSurgicals Disposable Miller Type Fiber Optic Laryngoscope (Pack of 1 Blade & 1 Handle),700,High-Quality Fiber Optic Blades: The laryngoscope features fiber optic blades that provide bright an..,0.00199005,Boston Scientific,25/04/2022,25/04/2025,12,70,840
Linen,Hospital Uniform,Disposable Nurse Gown (Non Woven Fabric),300.3,DisposableMade from Non Woven material..,0.000497512,Ben Franklin Opticians,4/9/2023,4/9/2027,21,30.03,630.63
Laparoscopic Instrument,Bipolars,Bipolar Bowel,3569,Bipolar Bowel..,0.000497512,Shilpa Medicare Limited,25/10/2022,25/10/2026,7,356.9,2498.3
Other Instruments,Monitor,AQUA12 Multi Parameter Patient Monitor,35112,AQUA12 Multi Parameter Patient Monitor,0.000497512,Fortis Healthcare Limited,28/01/2024,28/01/2028,20,3511.2,70224
Radiology Aid,X-Ray View Box,LED X-Ray View Box Single Film with Dimmer & Sensor (General Quality),1749,LED X-Ray View Box Single Film with Dimmer to Adjust Brightness of ScreenBody: Powder Coated MS Cabi..,0.000497512,Girish Surgical Works,24/09/2024,24/09/2028,1,174.9,174.9
Other Instruments,Mask,Anaesthesia Face Mask Transparent aircushion with valve,252,NA,0.000497512,Bauch & Lomb,27/06/2024,27/06/2028,39,25.2,982.8
Anesthesia Equipment,Oxygen Cylinder & Regulators,Emergency Oxygen Cylinder Kit,8260,Emergency Use.It is Handy and Portable.At the time of shifting patient to the Hospital and Home Use...,0.00199005,Narang,28/12/2022,28/12/2025,48,826,39648
Surgery,Instrument Kit,Delivery Instrument Kit,4256,You can also buy this product from our Amazon store.Buy Now    Delivery Instrument Kit Conta..,0.001492537,Max Healthcare Institute Limited,24/02/2024,24/02/2028,8,425.6,3404.8
Lab Plasticware,Funnels,Powder Funnels,827.18,These polypropylene funnels are best suited for transferring powdered reagents. The unique feature o..,0.000497512,Braun Medical India,3/10/2023,3/10/2027,49,82.718,4053.182
Disposables,Urology,Romsons Urometer Urine Collecting Bag with Measured Volume Chamber,120.75,Urine Bag with Measured Volume Chamber.Graduated meter for accurate measurement of the urine output...,0.000497512,Shilpa Medicare Limited,6/3/2023,6/3/2027,21,12.075,253.575
Lab Plasticware,Pipette Accessories,Pipette Stand (Horizontal) (6 Pcs.),1121,"This detachable Stand can hold 12 Pipettes, 6 on each side, in a horizontal position. Moulded in Pol..",0.000497512,Bauch & Lomb,25/02/2024,25/02/2028,25,112.1,2802.5
Surgery,Forceps,Tonsil Dissecting Forceps Toothed,229,"Item Code    Size  94361    6""  94362    7""  94363    8""..",0.001492537,Becton Dickinson,7/8/2023,7/8/2027,12,22.9,274.8
Anesthesia Equipment,Rebreathing Bags,"Rebreathing Bag - Green Rubber, 2 Litre",168,Rebreathing Bags - Green Rubber                Capacity : 2 Litre..,0.00199005,Boston Scientific,10/8/2022,10/8/2025,28,16.8,470.4
Rubber Products,Breast Pump,"Rubber Bulbs for Breast Pump Superior, 55ml (Pack of 15 Pcs.)",1617.78,"Item Code              Size                     35007              Breast pump, complete (glass barr..",0.000497512,Dolphin Surgical,2/12/2024,2/12/2028,43,161.778,6956.454
Opthalmology Instruments,Forceps,Hess Iris Forceps,499,Stainless SteelReusablePremium Grade..,0.000497512,Ambu,4/7/2022,4/7/2026,44,49.9,2195.6
Surgery,Suction Units Electric,Suction Unit - ABS (30 Ltrs./Min),32088,Housing : FRP (Painted)Jars : Polycarbonate 2 X 2.5 Ltrs. capacityOverflow Protection : Mechanical t..,0.001492537,Dolphin Surgical,12/11/2024,12/11/2028,16,3208.8,51340.8
Surgery,Forceps,Duval Lung Holding Forceps,1099,"High-Quality Stainless Steel â€“ Corrosion-resistant, durable, and autoclavable for repeated use.Trian..",0.001492537,Braun Medical India,28/02/2024,28/02/2028,13,109.9,1428.7
Surgery,Forceps,Dissecting Forceps Plain,199,"Item Code    Size  94300    4""  94301    5""  94302    6""  94303    7""94304    8""  94305    10""  9430..",0.001492537,Olympus,6/1/2024,6/1/2028,14,19.9,278.6
Opthalmology Instruments,Caliper,Castroviejo Caliper (Straight),1199,Stainless SteelReusablePremium Grade..,0.000497512,HI-TECH LAB PRODUCTS,17/06/2022,17/06/2026,5,119.9,599.5
Lab Plasticware,Lab Bottles,Heavy Duty Vacuum Bottle (2000 ml),664.34,"This autoclavable bottle, made of polypropylene, has thick walls, is rugged & can be used for re..",0.000497512,Wockhardt Limited,21/06/2022,21/06/2026,43,66.434,2856.662
Laparoscopic Instrument,Graspers,Fenestrated Grasper Single Action 5mm,2199,Fenestrated Grasper Single Action 5mm..,0.000497512,Abbott,1/2/2023,1/2/2027,35,219.9,7696.5
Surgery,Forceps,"Wilson Artery Forceps, 8""",616,Curved shafts & jaws for enhanced sightlines.Transversely serrated jaws to ensure a firm grip.Er..,0.001492537,Dr. Lal PathLabs Limited,30/09/2022,30/09/2026,37,61.6,2279.2
Surgery,Retractor,Roux Retractor (Set of 3),549,Roux Retractor (Set of 3)..,0.001492537,Johnson & Johnson,24/02/2025,24/02/2029,43,54.9,2360.7
Anesthesia Equipment,Nebulizer Face Mask,Nebulizer Face Mask Kit for Child,199,"Compatible with most standard nebulizer kits.Reusable mask, must only be hand washed.Soft anatomical..",0.00199005,Opto Circuits India Limited,20/11/2024,20/11/2027,37,19.9,736.3
Ortho Aid,Knee Calf & Ankle Splints,Arch Pad,815.85,Size :        Universal        Specifications :        Cushion pad made from  high grade silic..,0.000497512,Karl Storz,26/11/2023,26/11/2027,11,81.585,897.435
Furniture,Hospital Ward Furniture,Revolving Patient Stool (SS Top),2360,M.S.  tubular frame with SS top Height adjustable with screw me..,0.000497512,Delux Surgical,5/7/2023,5/7/2027,48,236,11328
General,Stethoscope,IndoSurgicals Silvery Stethoscope (Free Engraving),749,Product Details:Light weight aluminium sand anodized chest piece.High acoustic sensitivity.PVC 'U' s..,0.00199005,Fortis Healthcare Limited,30/05/2024,30/05/2027,11,74.9,823.9
Radiology Aid,X-Ray View Box,LED X-Ray View Box Single Film with Dimmer & Sensor (General Quality),1749,LED X-Ray View Box Single Film with Dimmer to Adjust Brightness of ScreenBody: Powder Coated MS Cabi..,0.000497512,Siemens Healthineers,2/12/2023,2/12/2027,25,174.9,4372.5
Lab Plasticware,General Labware,Leclanche Cell Pot (Pack of 12 Pcs.),1305.08,"Blown in polypropylene, this pot is used for making leclanche Cell. This pot too has very good conta..",0.000497512,Cook India,28/01/2025,28/01/2029,6,130.508,783.048
Opthalmology Instruments,Manipulator,Sinskey Lens Manipulator,359,Stainless SteelReusablePremium Grade..,0.000497512,Santosh Surgical Instruments,18/03/2024,18/03/2028,45,35.9,1615.5
Laparoscopic Instrument,Graspers,Plain Grasper,2199,Plain Grasper..,0.000497512,Hindustan Syringes,19/05/2023,19/05/2027,40,219.9,8796
Lab Equipment,Hot Air Sterilizers,"Hot Air Sterilizer, Double Wall , Universal Type, Upto 250ÂºC 43 Ltrs SS Chambers",23915.36,Upto  250ÂºC (Laboratory Electric Oven Universal Type)                Temperature  Thermostatically..,0.000497512,Vishal Surgitech,24/08/2024,24/08/2028,14,2391.536,33481.504
Surgery,Forceps,"GREY Gall Duct Forceps (Toothed) 10""",769,"GREY Gall Duct Forceps (Toothed) 10""..",0.001492537,Inor Medical Products Ltd,17/08/2022,17/08/2026,38,76.9,2922.2
Linen,Patient Dress,Patient Dress,749,"Top: Side front tie closure, short sleevesPants: Elastic waistband with drawstringMaterial: Poly-cot..",0.000497512,Fortis Healthcare Limited,12/10/2023,12/10/2027,1,74.9,74.9
Surgery,Scissors,"Tungsten Carbide (TC), Metzenbaum Scissor, Curved",1899,"Tungsten Carbide (TC), Metzenbaum Scissor, CurvedSKUSize941156""941167""941178""..",0.001492537,Romsons,1/4/2024,1/4/2028,48,189.9,9115.2
Lab Equipment,Laboratory Water Bath,Hemispherical Copper Water Bath,524.16,"Hemispherical Copper Water Bath is made from thick copper sheet, with two handles and set of concent..",0.000497512,Gesco Healthcare,23/02/2024,23/02/2028,23,52.416,1205.568
General,Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Infant,799,Silicone Artificial Resuscitator (Ambu Type Bag) Infant,0.00199005,AJMERA BIO-MEDICAL ENGINEERS,27/03/2023,27/03/2026,35,79.9,2796.5
Radiology Aid,Thyroid Collar/Shield,NoPbÂ® Thyroid Collar Hat Style (Lead Free) BARC Approved,3416,Thyroid Collars are used to protect the thyroid region which is one of the most affected parts of th..,0.000497512,Ambu,13/01/2024,13/01/2028,40,341.6,13664
Surgery,Forceps,Dissecting Forceps Plain,199,"Item Code    Size  94300    4""  94301    5""  94302    6""  94303    7""94304    8""  94305    10""  9430..",0.001492537,GPC Medical,8/9/2023,8/9/2027,36,19.9,716.4
Surgery,Instrument Kit,Advanced Lab Dissection Kit for Biology Anatomy Medical Students,849,Advanced Lab Dissection Kit for Biology Anatomy Medical Students 22 Pieces..,0.001492537,Abbott,30/05/2023,30/05/2027,48,84.9,4075.2
Surgery,Forceps,Tube Milking Forceps,1999,"Mainly used for milking tubes, preventing them from being blocked by blood clotsMilking Forceps Clam..",0.001492537,Hindustan Surgical,23/05/2024,23/05/2028,7,199.9,1399.3
Surgery,Suction Units Electric,Suction Unit - MS (100 Ltrs./Min),56873.6,Housing : Powder coated anti corrosive MSJars : Polycarbonate 2 X 2.5 Ltrs. capacityOverflow Protect..,0.001492537,Thyrocare Technologies Limited,6/5/2024,6/5/2028,36,5687.36,204744.96
Surgery,Suction Units Manual,Foot Suction Unit - Plastic,8008,"Housing: Plastic MouldedCapacity: -600 mm Hg Â± 10 , 200 ml / StrokePump Type: Piston PumpJars: 1 x 1..",0.001492537,Medtronic,27/09/2023,27/09/2027,40,800.8,32032
Anesthesia Equipment,Oxygen Cylinder & Regulators,Portable Oxygen Cylinder 6 liters,800.8,Oxygen for personal use comes packaged in a 500 ml OXY99 can comprising of 6 liters of oxygen. Now t..,0.00199005,Abbott,15/06/2022,15/06/2025,42,80.08,3363.36
Surgery,Forceps,Tonsil Dissecting Forceps Plain,229,"Item Code    Size  94315    6""  94316    7""  94317    8""..",0.001492537,Bard,5/12/2024,5/12/2028,1,22.9,22.9
Surgery,Retractor,Kelly Retractor,515,SKU    Size    97038    Small    97039    Medium      97040  Large..,0.001492537,Reckitt Benckiser,15/01/2024,15/01/2028,16,51.5,824
Surgery,Suction Units Electric,Suction Unit - ABS (35 Ltrs./Min),26096,Housing : Complete ABS (Plastic)Jars : Polycarbonate 2 X 2.5 Ltrs. capacityOverflow Protection : Mec..,0.001492537,Apollo Hospitals Enterprise Limited,28/01/2024,28/01/2028,42,2609.6,109603.2
Anesthesia Equipment,Artificial Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Child,799,Autoclavable artificial resuscitator.Capacity: 500 mlOxygen Reservoir Bag 2600 mlNon rebreathing val..,0.00199005,Cook India,27/08/2023,27/08/2026,20,79.9,1598
